source,target
¿qué harás el jueves?,¿futuro jueves tú hacer qué?
tu amiga es sorda,amigo mujer tuya sorda
mi novio estudia inglés todos los días,todos los días novio mío ingles estudiar
soy desesperado,yo desesperado así
las niñas están locas,niño mujer ellas locas
a tu hermano le gusta el chocolate,hermano tuyo chocolate gustar
su novia es celosa,novio mujer suya celosa
nuestro perro,perro nuestro
mujeres,mujer ellas
¿dónde vive tu tía?,¿tío mujer tuya vivir dónde?
mi papá está mal,papá mío mal
quiere aprender inglés,él inglés aprender querer
yo soy agradable,yo agradable
tú eres feliz,tú feliz así
nos gusta el café,nosotros café gustar no
¿dónde viven tus hermanas?,¿hermano mujer ellas tuyas vivir dónde?
mi mamá quiere aprender inglés,mamá mía inglés aprender querer
"no, mi tía es oyente","no, tío mujer mía oyente"
nuestro hijo,hijo nuestro
tú eres distraída,tú distraído así
mi primo quiere aprender inglés,primo mío inglés aprender querer
mi abuela está preocupado,abuelo mujer mía preocupada
eres abogado,tú abogado
están desesperados,ellos desesperados
tu mamá es abogada,mamá tuya abogada
les agrada el chocolate,ustedes chocolate gustar
estoy desesperado,yo desesperado
mi novio estaba leyendo un revista ayer,ayer novio mío revista leer
ustedes son tímidos,ustedes tímidos así
hola niña. Buenas noches,hola niña. Buenas noches
le gusta el chocolate,ella chocolate gustar
fueron,pasado ustedes ir
ellas son tranquilas,ellas tranquilas
mi abuela irá al hospital,abuelo mujer mía hospital ir
pocos gatos juegan en el parque,parque ahí pocos gatos jugar
nuestra amiga está distraída,amigo mujer nuestra distraída
mi amiga es miedosa,amigo mujer mía miedosa así
¿tu novia es oyente?,¿novio mujer oyente?
el gato café es calmado,gato café tranquilo
tu maestra es inteligente,maestro mujer inteligente tuyo
él irá al museo mañana,mañana él museo ir
mi mamá está masomenos,mamá mía masomenos
su perro está limpio,perro suyo limpio
nosotros somos científicos,nosotros científicos
mi novio es oyente,novio mío oyente
su prima,primo mujer suya
tu abuelo quiere aprender inglés,abuelo tuyo inglés aprender querer
no quiere un abrazo,él (ella) abrazo no querer
tu sobrino quiere aprender inglés,sobrino tuyo inglés aprender querer
tú no entiendes el árabe,tú árabe entender no
mi novio no entiende,novio mío entender no
ayer comí huevos,ayer yo huevos comer
la pelota es amarilla,pelota amarilla
mi hermana es científica,hermano mujer mía científica
irán a la biblioteca,futuro ellos (ellas) (ustedes) universidad ir
estudiarás en la biblioteca mañana,mañana biblioteca ahí tú estudiar
lavadoras,lavadora+lavadora+lavadora
está desesperada,ella desesperada
ella no quiere trabajar,ella trabajar no querer
mi tía estaba ocupada ayer,ayer tío mujer ocupada
mi nombre es VANIA,mi nombre VANIA
tu prima es arquitecta,primo mujer tuya arquitecta
tu hermano es oyente,hermano tuyo oyente
quieren aprender lsm,ellos (as) (ustedes) lsm aprender querer
mi novio es alegre,novio mío alegre así
mi hermano estaba ocupado ayer,ayer hermano mío ocupado
el niño está alegre,niño alegre
mi tía está enojada,tío mujer mía enojada
tu abuelo está confundido,abuelo tuyo confundido
nosotros queremos comer,nosotros comer querer
yo estudiaré inglés mañana,mañana yo inglés estudiar
las ventanas de la casa,casa ventana+ventana+ventana suyas
las niñas juegan en el parque,parque ahí niño mujer ellas jugar
ayer comí pescado,ayer yo pescado comer
mi tía,tío mujer mío
mi abuela está mal,abuelo mujer mía mal
leí una revista ayer,ayer yo revista leer
ella es profesora,ella profesora
en la cocina hace mucho calor,cocina ahí mucho calor
tu amiga es tierna,amiga tuya tierna así
"si, mi tío es sordo","si, tío mío sordo"
tu amigo come pescado,amigo tuyo pescado comer
mamá quiere un yogur,mamá yogur querer
a mi abuelo no le gusta el café,abuelo mío café gustar no
hace viento,viento
mi amiga entiende,amigo mujer mía entender
mi amigo estaba leyendo una revista ayer,ayer amigo mío revista leer
yo camino,yo caminar
tu mamá es médico,mamá tuya médico
suegro,suegro
tomo café diariamente,diario yo café tomar
ellos son distraídos,ellos distraídos así
"no, soy oyente","no, yo oyente"
ella bebe cerveza,ella cerveza beber
él está apenado,él apenado
tu abuela está mal,abuelo mujer tuya mal
él estaba ocupado ayer,ayer él ocupado
tu papá te regaña,papá tuyo tú regañar
mi abuelo está masomenos,abuelo mío masomenos
mis perros están asustados,perro cl+cl+cl míos asustados
soy mujer,yo mujer
a mi mamá no le gusta platicar,mamá mía platicar gustar no
los niños son felices,niño ellos feliz así
él quiere aprender lsm,él lsm aprender querer
me agrada leer,yo leer gustar
los perros son agresivos,perro cl+cl+cl agresivos
tu primo es artista,primo tuyo artista
quieren aprender inglés,ellos (as) (ustedes) inglés aprender querer
¿qué harás el viernes?,¿futuro viernes tú hacer qué?
Ayuda,Ayuda
